Strategy,Threads,Iteration,TotalTime,AvgTime,Throughput
Critical_OpenMP,8,1,48.643524,0.000811,1233.463263
Critical_OpenMP,8,2,54.052659,0.000901,1110.028651
Critical_OpenMP,8,3,56.873530,0.000948,1054.972322
Critical_OpenMP,8,4,55.185103,0.000920,1087.249935
Critical_OpenMP,8,5,56.095018,0.000935,1069.613703
Critical_OpenMP,8,6,55.997549,0.000933,1071.475472
Critical_OpenMP,8,7,55.206793,0.000920,1086.822774
Critical_OpenMP,8,8,56.228513,0.000937,1067.074275
Critical_OpenMP,8,9,55.302326,0.000922,1084.945331
Critical_OpenMP,8,10,55.663492,0.000928,1077.905781
