Strategy,Threads,Iteration,TotalTime,AvgTime,Throughput
SIMD_OpenMP,8,1,28.776928,0.000480,2085.003649
SIMD_OpenMP,8,2,26.204024,0.000437,2289.724682
SIMD_OpenMP,8,3,29.632547,0.000494,2024.800665
SIMD_OpenMP,8,4,29.267258,0.000488,2050.072461
SIMD_OpenMP,8,5,27.807844,0.000463,2157.664614
SIMD_OpenMP,8,6,26.946996,0.000449,2226.593310
SIMD_OpenMP,8,7,28.252690,0.000471,2123.691602
SIMD_OpenMP,8,8,26.673273,0.000445,2249.442764
SIMD_OpenMP,8,9,27.018549,0.000450,2220.696607
SIMD_OpenMP,8,10,26.559925,0.000443,2259.042495
